Record_ID,Date,Day,Month,Branch,Region,Store_Type,Staff_Count,Marketing_Spend,Customers,Orders,Average_Bill,Revenue,Food_Cost,Operating_Cost,Profit,Avg_Delivery_Min,Customer_Rating,Temperature_C,Humidity_Percent,Weather,Promotion
ST0014,2026-04-22,Wednesday,April,Jaipur,North,Express,11,4406.05,120,106,266.28,30872.58,10827.09,37797.26,-6924.68,21.8,4.54,27.0,59.6,Clear,None
ST0015,2026-01-11,Sunday,January,Srinagar,North,Express,10,5155.05,175,150,392.47,72122.33,22441.51,44715.36,27406.97,32.0,4.25,26.4,59.3,Clear,None
ST0016,2026-02-13,Friday,February,Hyderabad,South,Premium,22,6712.98,315,293,454.01,143745.24,52188.89,88867.28,54877.96,21.9,4.59,28.8,48.3,Rain,Combo Deal
ST0017,2026-02-12,Thursday,February,Bengaluru,South,Premium,22,9774.75,259,207,445.7,114453.29,47399.11,82402.51,32050.78,27.7,4.27,28.2,56.2,Clear,None
ST0018,2026-06-20,Saturday,June,Hyderabad,South,Express,6,4920.7,151,127,253.26,39711.21,13410.61,31789.39,7921.82,27.3,4.41,27.4,59.0,Clear,None
ST0019,2026-01-22,Thursday,January,Kochi,South,Standard,9,5852.77,168,156,352.46,65419.26,23491.25,46987.12,18432.14,21.0,4.32,30.3,61.0,Clear,None
ST0020,2026-01-08,Thursday,January,Hyderabad,South,Standard,18,4164.85,179,144,437.37,79750.27,30399.81,54329.08,25421.19,21.2,4.47,17.9,74.5,Clear,None
ST0021,2026-05-30,Saturday,May,Bengaluru,South,Standard,16,3902.66,258,216,430.02,110897.45,44893.31,68397.41,42500.04,22.5,4.57,25.3,71.0,Rain,Loyalty Offer
ST0022,2026-04-18,Saturday,April,Bengaluru,South,Express,7,2594.77,201,169,303.71,60321.07,25205.39,39544.63,20776.44,32.8,4.4,21.6,68.9,Clear,Combo Deal
ST0023,2026-05-25,Monday,May,Jaipur,North,Standard,8,4522.38,184,158,338.33,67473.37,27907.75,44644.7,22828.67,34.5,4.36,31.6,30.5,Hot,None
ST0024,2026-01-17,Saturday,January,Bengaluru,South,Premium,22,9604.63,360,304,470.15,169357.16,61369.37,99788.86,69568.3,25.0,4.47,26.0,56.0,Clear,None
ST0025,2026-04-14,Tuesday,April,Delhi,North,Express,6,7268.15,94,82,343.25,32093.46,12256.87,32696.78,-603.32,20.9,4.79,30.7,66.5,Clear,None
ST0026,2026-06-08,Monday,June,Hyderabad,South,Standard,8,2665.06,171,151,443.63,84366.08,29490.6,45777.49,38588.59,24.9,4.8,28.0,69.3,Clear,Weekend Offer
ST0027,2026-02-17,Tuesday,February,Srinagar,North,Express,9,2876.36,95,85,325.85,35637.87,12915.0,34614.2,1023.67,22.2,4.49,34.5,79.3,Clear,None
ST0028,2026-01-21,Wednesday,January,Delhi,North,Standard,9,3914.82,235,205,418.95,97702.97,38507.98,58317.88,39385.09,31.0,4.09,36.5,65.2,Clear,Weekend Offer
ST0029,2026-05-27,Wednesday,May,Srinagar,North,Standard,8,8123.78,164,133,424.2,69193.11,26587.4,48497.98,20695.13,23.9,4.53,25.7,43.0,Hot,Weekend Offer
ST0030,2026-01-02,Friday,January,Hyderabad,South,Standard,10,6953.0,277,248,426.58,121326.26,43128.85,69808.01,51518.25,35.2,4.19,30.1,55.9,Cloudy,None
ST0031,2026-04-23,Thursday,April,Hyderabad,South,Standard,8,4373.75,195,156,456.28,91347.45,30080.91,47465.75,43881.7,27.6,4.69,25.7,37.8,Cloudy,None
ST0032,2026-05-03,Sunday,May,Jaipur,North,Standard,14,4544.56,239,221,335.32,79783.49,27977.98,54996.63,24786.86,27.7,4.21,29.5,54.0,Clear,None
ST0033,2026-02-05,Thursday,February,Bengaluru,South,Standard,15,5803.02,189,159,426.76,78384.64,30627.99,59476.99,18907.65,23.1,4.6,25.3,69.2,Clear,Loyalty Offer
ST0034,2026-06-22,Monday,June,Mumbai,West,Express,6,2649.78,117,99,306.41,38093.13,12486.82,27144.12,10949.01,21.8,4.59,26.2,73.5,Clear,None
ST0035,2026-06-06,Saturday,June,Srinagar,North,Standard,11,5174.46,282,221,384.42,106867.79,34726.46,57285.66,49582.13,28.0,4.44,23.9,50.3,Cloudy,Weekend Offer
ST0036,2026-03-31,Tuesday,March,Srinagar,North,Express,5,1249.44,143,115,330.92,41442.42,16992.65,31303.28,10139.14,25.3,4.42,25.3,74.3,Clear,None
ST0037,2026-01-15,Thursday,January,Pune,West,Standard,8,5834.79,197,174,327.23,70854.32,28316.98,50449.94,20404.38,30.5,4.22,21.5,35.4,Clear,Weekend Offer
ST0038,2026-03-07,Saturday,March,Mumbai,West,Express,7,6704.56,159,140,413.29,68568.12,24315.2,43988.92,24579.2,28.9,4.5,23.7,58.3,Rain,None
ST0039,2026-01-14,Wednesday,January,Jaipur,North,Standard,12,6082.5,218,203,381.64,79623.77,33389.66,55383.37,24240.4,28.2,4.28,28.7,95.0,Hot,None
ST0040,2026-04-30,Thursday,April,Mumbai,West,Express,5,5918.44,121,94,261.66,23560.23,8865.03,26502.62,-2942.39,27.5,4.36,28.6,42.8,Clear,None
ST0041,2026-06-14,Sunday,June,Delhi,North,Standard,10,6546.76,226,180,337.39,73724.8,23555.43,45738.82,27985.98,32.9,3.97,29.4,63.9,Clear,Weekend Offer
ST0042,2026-04-14,Tuesday,April,Pune,West,Standard,18,5998.61,222,184,498.63,110234.1,44833.16,73670.01,36564.09,15.8,4.67,30.0,61.8,Cloudy,Combo Deal
ST0043,2026-03-21,Saturday,March,Srinagar,North,Express,11,7909.44,214,185,257.54,52660.62,16358.52,42332.55,10328.07,22.6,4.48,22.7,53.7,Clear,None
ST0044,2026-03-02,Monday,March,Jaipur,North,Standard,15,5490.58,218,178,307.78,63450.46,22288.38,47700.76,15749.7,29.3,4.47,32.5,75.4,Hot,None
ST0045,2026-06-23,Tuesday,June,Srinagar,North,Standard,17,7117.64,220,203,337.92,78107.26,27179.12,63123.68,14983.58,24.2,4.32,29.6,48.2,Clear,Loyalty Offer
ST0046,2026-05-17,Sunday,May,Mumbai,West,Standard,18,5350.18,286,237,324.62,89589.85,29070.25,54658.08,34931.77,27.9,4.33,21.7,70.4,Clear,Combo Deal
ST0047,2026-01-26,Monday,January,Hyderabad,South,Express,11,5369.09,202,173,278.59,55411.29,17789.38,44089.76,11321.53,29.4,4.18,24.4,64.9,Rain,Weekend Offer
ST0048,2026-02-16,Monday,February,Srinagar,North,Express,6,5274.03,132,105,367.6,45129.44,17393.37,38071.81,7057.63,30.2,4.46,27.9,59.3,Cloudy,None
ST0049,2026-02-15,Sunday,February,Delhi,North,Express,6,4087.11,192,168,399.92,75082.1,29547.32,48689.49,26392.61,32.7,4.42,29.4,54.6,Hot,None
ST0050,2026-01-10,Saturday,January,Delhi,North,Standard,9,5811.53,228,196,438.51,97656.62,31102.8,55412.18,42244.44,22.9,4.63,29.8,79.0,Clear,None
ST0051,2026-01-25,Sunday,January,Delhi,North,Standard,11,4738.71,227,199,375.99,82989.94,27268.43,50397.68,32592.26,31.2,4.35,25.9,64.0,Clear,None
ST0052,2026-05-19,Tuesday,May,Jaipur,North,Standard,10,5292.75,176,147,420.77,78802.63,30616.97,51953.91,26848.72,22.0,4.42,24.3,46.5,Clear,Combo Deal
ST0053,2026-06-08,Monday,June,Kochi,South,Premium,18,7498.82,283,253,510.38,144779.02,60759.46,96063.41,48715.61,23.1,4.67,31.2,57.9,Hot,Loyalty Offer
ST0054,2026-02-05,Thursday,February,Srinagar,North,Premium,13,7218.43,264,241,469.01,125394.6,44507.22,71852.87,53541.73,24.7,4.38,26.8,69.3,Clear,None
ST0055,2026-03-08,Sunday,March,Delhi,North,Standard,18,2523.13,279,235,461.81,133587.87,46781.01,73046.11,60541.76,32.2,4.77,21.7,51.1,Hot,None
ST0056,2026-06-11,Thursday,June,Mumbai,West,Express,11,6832.07,188,174,253.22,43472.25,15020.8,39203.92,4268.33,21.8,4.33,27.2,73.7,Hot,Weekend Offer
ST0057,2026-05-07,Thursday,May,Srinagar,North,Express,9,6044.36,133,108,271.55,33108.79,12127.55,37469.6,-4360.81,23.2,4.44,31.4,67.3,Cloudy,Weekend Offer
ST0058,2026-06-21,Sunday,June,Jaipur,North,Standard,18,6213.64,251,215,347.09,85890.9,28426.76,58359.13,27531.77,29.3,4.28,19.5,65.1,Cloudy,None
ST0059,2026-05-21,Thursday,May,Srinagar,North,Premium,12,6427.64,255,221,519.25,129831.91,45747.66,70714.21,59117.7,30.8,4.2,29.1,49.4,Clear,Weekend Offer
ST0060,2026-03-09,Monday,March,Pune,West,Express,9,7278.64,155,133,296.13,51523.64,16869.48,42292.24,9231.4,19.5,4.53,37.7,64.7,Clear,Combo Deal
ST0061,2026-03-26,Thursday,March,Delhi,North,Premium,12,8372.39,296,255,560.95,168847.37,53610.5,83463.81,85383.56,32.0,4.35,23.1,62.1,Cloudy,Loyalty Offer
ST0062,2026-06-19,Friday,June,Jaipur,North,Express,7,3133.22,130,103,400.54,48739.73,15121.88,31786.67,16953.06,22.6,4.23,34.9,82.1,Cloudy,Weekend Offer
ST0063,2026-01-11,Sunday,January,Pune,West,Standard,14,6421.07,314,275,365.48,116701.67,47478.51,80048.41,36653.26,30.4,4.37,28.8,74.2,Clear,Combo Deal
ST0064,2026-02-18,Wednesday,February,Kochi,South,Standard,10,5118.0,200,173,304.75,60000.92,23398.39,45285.2,14715.72,35.1,4.3,31.1,50.6,Hot,Loyalty Offer
ST0065,2026-01-20,Tuesday,January,Srinagar,North,Standard,18,5391.31,240,218,525.11,120549.17,42392.53,68024.72,52524.45,27.4,4.61,25.1,79.7,Rain,None
ST0066,2026-03-01,Sunday,March,Mumbai,West,Premium,18,9629.95,354,293,451.12,158943.97,53594.1,92233.04,66710.93,29.7,4.43,27.8,45.5,Rain,None
ST0067,2026-03-20,Friday,March,Srinagar,North,Standard,12,2134.18,202,167,371.57,63787.41,20016.41,41271.94,22515.47,28.0,4.48,32.1,25.0,Rain,None
ST0068,2026-06-26,Friday,June,Srinagar,North,Standard,13,5221.5,223,184,381.71,84370.92,29547.23,56412.94,27957.98,18.2,4.85,28.1,80.4,Clear,Combo Deal
ST0069,2026-01-23,Friday,January,Delhi,North,Express,7,3358.9,120,104,279.84,37934.31,14599.69,32380.14,5554.17,26.4,4.47,33.2,63.8,Rain,Weekend Offer
ST0070,2026-02-10,Tuesday,February,Bengaluru,South,Express,11,4863.4,202,163,318.07,69380.68,28479.97,53918.49,15462.19,21.9,4.52,28.3,51.6,Clear,Combo Deal
ST0071,2026-06-23,Tuesday,June,Hyderabad,South,Express,7,3326.85,117,93,337.29,45365.82,15424.6,34165.92,11199.9,23.1,4.53,31.4,76.0,Clear,None
ST0072,2026-05-15,Friday,May,Mumbai,West,Express,6,877.42,189,166,298.81,53387.14,21248.98,34360.65,19026.49,21.8,4.6,21.4,86.9,Clear,Loyalty Offer
ST0073,2026-02-18,Wednesday,February,Bengaluru,South,Standard,12,4437.76,233,192,476.71,116788.38,43455.83,65121.81,51666.57,27.9,4.09,19.2,33.1,Rain,Combo Deal
ST0074,2026-02-21,Saturday,February,Hyderabad,South,Standard,12,3887.0,321,283,493.54,163752.8,58245.95,86572.52,77180.28,28.2,4.28,22.2,69.6,Clear,Weekend Offer
ST0075,2026-04-13,Monday,April,Delhi,North,Premium,20,7664.49,262,214,563.46,155171.99,64224.25,96667.64,58504.35,16.3,4.88,25.6,51.1,Clear,Combo Deal
ST0076,2026-01-20,Tuesday,January,Mumbai,West,Standard,12,5054.01,221,195,414.22,94061.38,31219.56,54581.65,39479.73,19.4,4.61,19.9,58.4,Rain,None
ST0077,2026-01-19,Monday,January,Pune,West,Standard,11,8430.75,226,196,395.19,88234.38,27467.25,52508.38,35726.0,36.6,4.45,27.5,64.7,Clear,Weekend Offer
ST0078,2026-02-24,Tuesday,February,Bengaluru,South,Standard,18,805.37,185,146,400.93,77200.16,25774.33,51387.8,25812.36,25.6,4.58,27.4,61.9,Clear,None
ST0079,2026-02-27,Friday,February,Bengaluru,South,Premium,19,7533.52,328,289,485.95,160201.7,54947.89,91554.21,68647.49,23.2,4.67,28.7,57.9,Clear,Weekend Offer
ST0080,2026-01-19,Monday,January,Mumbai,West,Standard,14,870.78,182,164,442.71,87202.61,34230.93,58940.85,28261.76,16.2,4.77,33.4,66.9,Clear,None
ST0081,2026-02-16,Monday,February,Pune,West,Standard,14,3336.93,207,174,371.08,84271.28,26493.33,49524.37,34746.91,24.0,4.66,31.9,64.7,Cloudy,Combo Deal
ST0082,2026-01-07,Wednesday,January,Bengaluru,South,Express,7,5965.57,123,97,272.49,29495.71,11568.17,31073.93,-1578.22,25.8,4.38,29.2,64.6,Clear,None
ST0083,2026-03-10,Tuesday,March,Kochi,South,Standard,17,7099.64,198,179,449.18,91440.42,34743.03,63475.31,27965.11,16.0,4.35,28.2,76.2,Clear,None
ST0084,2026-03-28,Saturday,March,Jaipur,North,Express,11,4668.84,236,215,429.41,103394.18,40392.85,64560.28,38833.9,29.9,4.23,21.4,43.6,Clear,None
ST0085,2026-03-20,Friday,March,Delhi,North,Standard,11,3656.73,153,137,376.59,62785.83,19770.29,41220.22,21565.61,18.6,4.9,27.7,57.8,Cloudy,None
ST0086,2026-04-28,Tuesday,April,Srinagar,North,Premium,22,7175.43,301,273,621.69,194018.92,69882.27,111489.14,82529.78,17.4,4.34,35.7,59.4,Clear,Weekend Offer
ST0087,2026-03-13,Friday,March,Mumbai,West,Standard,13,5500.78,206,183,370.48,77370.34,29788.55,59050.66,18319.68,22.5,4.33,20.5,65.2,Rain,None
ST0088,2026-03-02,Monday,March,Hyderabad,South,Express,7,5025.28,173,137,284.75,57281.16,20511.27,38615.26,18665.9,22.5,4.59,29.9,59.9,Clear,Weekend Offer
ST0089,2026-05-16,Saturday,May,Jaipur,North,Express,10,5382.85,207,190,390.46,82115.39,28205.68,53569.06,28546.33,23.0,4.83,29.1,63.6,Cloudy,None
ST0090,2026-02-21,Saturday,February,Srinagar,North,Standard,18,3622.36,272,230,410.06,114423.53,41127.01,65405.5,49018.03,19.2,4.58,28.8,46.4,Clear,Combo Deal
ST0091,2026-03-11,Wednesday,March,Kochi,South,Express,11,4291.98,102,86,337.84,37830.8,15423.76,36614.76,1216.04,21.3,4.47,24.1,77.3,Clear,Loyalty Offer
ST0092,2026-02-11,Wednesday,February,Hyderabad,South,Express,8,5289.14,149,134,351.39,45045.98,18312.79,34899.1,10146.88,23.5,4.6,32.5,60.9,Clear,None
ST0093,2026-04-24,Friday,April,Hyderabad,South,Standard,12,1821.99,223,180,414.99,99009.56,39637.08,61555.51,37454.05,28.4,4.12,24.6,58.2,Cloudy,Combo Deal
ST0094,2026-02-27,Friday,February,Delhi,North,Standard,9,5751.23,172,155,337.41,58344.19,21719.65,40675.69,17668.5,24.7,4.63,27.1,56.0,Cloudy,None
ST0095,2026-01-01,Thursday,January,Kochi,South,Standard,10,2650.23,183,152,392.79,76114.92,28579.07,46211.78,29903.14,20.3,4.63,31.2,71.5,Clear,None
ST0096,2026-05-31,Sunday,May,Bengaluru,South,Standard,11,5046.26,214,192,327.04,66281.72,24012.66,47714.91,18566.81,24.7,4.53,34.1,50.6,Clear,None
ST0097,2026-04-06,Monday,April,Jaipur,North,Standard,17,8905.03,303,257,394.21,117533.52,48474.7,82995.2,34538.32,25.4,4.82,27.3,54.6,Clear,Combo Deal
ST0098,2026-06-13,Saturday,June,Mumbai,West,Standard,16,4006.62,264,225,427.36,116936.47,45144.05,74578.63,42357.84,33.5,4.23,26.5,57.5,Clear,Weekend Offer
ST0099,2026-02-16,Monday,February,Srinagar,North,Standard,9,5173.73,191,158,379.88,78444.64,29409.63,48210.86,30233.78,33.8,4.28,24.4,95.0,Clear,Weekend Offer
ST0100,2026-06-14,Sunday,June,Mumbai,West,Standard,18,6557.73,266,212,399.1,103906.77,42398.07,74553.44,29353.33,23.5,4.74,22.8,66.3,Clear,None
ST0101,2026-05-20,Wednesday,May,Pune,West,Standard,12,5198.46,193,176,422.59,77468.92,25669.88,48788.01,28680.91,20.6,4.43,24.8,74.6,Cloudy,None
ST0102,2026-06-24,Wednesday,June,Mumbai,West,Express,11,4297.33,202,170,275.42,61084.16,23494.25,46306.35,14777.81,27.1,4.3,32.3,55.1,Clear,Combo Deal
ST0103,2026-02-27,Friday,February,Pune,West,Standard,11,2899.47,184,156,391.79,75997.62,25659.18,50599.79,25397.83,28.7,4.47,28.4,36.5,Cloudy,None
ST0104,2026-05-26,Tuesday,May,Srinagar,North,Standard,18,5442.45,241,209,445.82,111015.98,36420.79,69868.55,41147.43,27.8,4.29,24.0,51.4,Rain,None
ST0105,2026-05-16,Saturday,May,Pune,West,Standard,14,1553.56,219,191,456.76,93102.62,30921.78,53115.92,39986.7,27.9,4.6,22.5,80.2,Clear,None
ST0106,2026-01-31,Saturday,January,Bengaluru,South,Standard,12,6176.61,269,250,281.16,75187.93,26316.51,47746.22,27441.71,28.4,4.36,30.6,50.7,Hot,Weekend Offer
ST0107,2026-04-06,Monday,April,Kochi,South,Premium,13,10494.49,300,277,538.21,157318.88,58122.45,89243.64,68075.24,32.2,3.91,29.5,52.6,Rain,None
ST0108,2026-05-01,Friday,May,Bengaluru,South,Express,6,5586.52,118,106,374.97,44344.7,16530.37,32028.49,12316.21,31.4,4.36,19.3,66.4,Clear,Combo Deal
ST0109,2026-06-27,Saturday,June,Pune,West,Standard,15,4559.02,258,229,494.05,125291.66,46991.99,72894.19,52397.47,26.3,4.88,22.5,84.3,Clear,None
ST0110,2026-03-20,Friday,March,Hyderabad,South,Express,8,3210.99,140,111,271.41,41480.89,17417.35,34831.87,6649.02,24.3,4.92,25.3,27.5,Clear,None
ST0111,2026-03-15,Sunday,March,Hyderabad,South,Standard,14,5560.08,268,231,297.43,82435.81,26532.25,56291.55,26144.26,28.8,4.26,27.8,67.2,Clear,Combo Deal
ST0112,2026-06-28,Sunday,June,Kochi,South,Premium,22,8655.67,340,306,545.05,181338.86,68845.65,102296.43,79042.43,20.4,4.16,31.3,67.5,Cloudy,Loyalty Offer
ST0113,2026-01-21,Wednesday,January,Kochi,South,Express,6,4835.35,136,124,301.66,38910.0,13087.44,32253.1,6656.9,23.2,4.42,32.6,68.3,Cloudy,Loyalty Offer
ST0114,2026-06-02,Tuesday,June,Delhi,North,Standard,8,9091.09,193,161,325.19,50232.11,16508.96,39480.76,10751.35,24.9,4.43,31.9,43.9,Clear,None
ST0115,2026-02-15,Sunday,February,Hyderabad,South,Standard,15,5682.51,237,187,335.72,75357.63,29869.6,53870.51,21487.12,31.6,4.51,32.9,36.3,Clear,None
ST0116,2026-02-24,Tuesday,February,Jaipur,North,Standard,14,2528.13,181,145,425.69,79862.08,31651.54,55462.51,24399.57,26.7,4.51,26.0,72.1,Clear,None
ST0117,2026-06-17,Wednesday,June,Jaipur,North,Standard,12,7842.48,256,236,325.14,93103.28,37957.54,63363.68,29739.6,37.2,4.23,25.1,56.3,Clear,None
ST0118,2026-06-20,Saturday,June,Hyderabad,South,Premium,20,9921.31,332,267,531.45,172369.58,60046.72,98693.91,73675.67,26.6,4.48,31.2,74.1,Hot,None
ST0119,2026-04-07,Tuesday,April,Mumbai,West,Standard,16,7718.08,222,180,364.56,71637.11,22935.51,52892.57,18744.54,19.4,4.32,22.7,55.7,Clear,Combo Deal
ST0120,2026-02-11,Wednesday,February,Mumbai,West,Express,5,5049.28,142,132,341.35,51986.29,21791.24,38601.29,13385.0,33.2,4.4,26.7,71.1,Hot,Combo Deal
ST0121,2026-04-26,Sunday,April,Hyderabad,South,Standard,15,5631.1,285,235,271.92,78312.54,31194.68,59604.35,18708.19,30.4,4.13,32.7,45.6,Clear,None
ST0122,2026-05-26,Tuesday,May,Jaipur,North,Premium,24,10090.65,268,251,623.28,158717.65,62482.94,101710.25,57007.4,22.7,4.79,33.1,52.5,Clear,None
ST0123,2026-05-20,Wednesday,May,Mumbai,West,Express,5,3885.07,95,82,328.67,30627.55,12519.92,28985.46,1642.09,18.1,4.27,32.4,83.0,Clear,Weekend Offer
ST0124,2026-03-29,Sunday,March,Jaipur,North,Standard,12,5202.79,284,233,375.44,103245.25,33274.24,57948.28,45296.97,22.6,4.57,27.3,66.3,Clear,Weekend Offer
ST0125,2026-03-18,Wednesday,March,Kochi,South,Standard,9,5162.2,216,183,425.16,93893.58,37683.44,57185.24,36708.34,31.6,4.26,27.6,65.4,Cloudy,Combo Deal
ST0126,2026-04-11,Saturday,April,Bengaluru,South,Standard,15,3858.48,279,238,394.02,105284.07,41274.53,69939.18,35344.89,31.5,4.55,26.8,69.6,Hot,None
ST0127,2026-02-28,Saturday,February,Hyderabad,South,Standard,17,6451.06,224,204,405.91,87011.85,31528.68,66331.18,20680.67,18.2,4.96,23.5,84.1,Clear,None
ST0128,2026-02-15,Sunday,February,Pune,West,Standard,8,4511.83,286,248,387.79,115067.61,39341.74,58474.52,56593.09,28.8,4.51,23.1,45.2,Hot,None
ST0129,2026-01-30,Friday,January,Jaipur,North,Express,9,5869.22,152,134,449.43,65732.15,26196.77,49873.84,15858.31,20.7,4.49,25.6,35.9,Clear,Weekend Offer
ST0130,2026-04-07,Tuesday,April,Srinagar,North,Standard,12,5769.22,183,162,353.85,65150.19,23614.88,48131.65,17018.54,25.3,4.09,34.3,47.1,Clear,Weekend Offer
ST0131,2026-02-28,Saturday,February,Jaipur,North,Standard,9,5347.51,320,268,408.73,128169.47,41268.8,65440.44,62729.03,38.3,4.46,22.5,36.6,Clear,Weekend Offer
ST0132,2026-01-15,Thursday,January,Pune,West,Express,9,5675.87,135,125,398.43,57102.53,21364.7,40069.32,17033.21,29.7,4.58,30.9,62.8,Cloudy,None
ST0133,2026-05-26,Tuesday,May,Kochi,South,Standard,11,5785.33,198,186,336.04,60228.67,21184.66,46137.85,14090.82,32.8,4.27,27.3,75.5,Cloudy,Combo Deal
ST0134,2026-01-25,Sunday,January,Bengaluru,South,Express,5,8162.86,216,191,233.99,47143.12,15408.46,35710.28,11432.84,32.5,4.43,31.8,33.9,Clear,Weekend Offer
ST0135,2026-01-13,Tuesday,January,Jaipur,North,Premium,15,3823.94,257,202,456.67,108915.91,41853.2,66945.14,41970.77,20.9,4.49,14.6,55.8,Rain,None
ST0136,2026-02-27,Friday,February,Bengaluru,South,Standard,9,4351.24,227,207,286.01,67103.82,21321.25,38587.35,28516.47,33.1,4.22,35.6,47.7,Clear,None
ST0137,2026-06-05,Friday,June,Delhi,North,Standard,11,7031.92,207,165,365.57,71708.43,23988.38,51865.39,19843.04,25.1,4.29,25.5,39.0,Clear,None
ST0138,2026-02-19,Thursday,February,Srinagar,North,Express,8,5395.43,183,149,314.45,51839.99,19723.48,38137.38,13702.61,33.7,4.39,29.7,61.4,Clear,Combo Deal
ST0139,2026-03-11,Wednesday,March,Mumbai,West,Standard,14,4940.18,238,218,338.73,77815.72,28312.49,54593.14,23222.58,26.4,4.4,34.7,68.5,Clear,Weekend Offer
ST0140,2026-03-31,Tuesday,March,Pune,West,Express,10,5788.88,173,158,395.82,59324.16,19179.76,41659.03,17665.13,22.6,4.94,32.5,65.9,Rain,Combo Deal
ST0141,2026-04-14,Tuesday,April,Srinagar,North,Premium,23,9422.46,297,254,555.6,155660.59,64980.23,108718.66,46941.93,22.2,4.5,26.4,72.4,Clear,None
ST0142,2026-06-22,Monday,June,Hyderabad,South,Premium,14,6144.89,318,295,450.09,133622.46,54700.83,82188.3,51434.16,20.5,4.29,28.9,55.1,Clear,Weekend Offer
ST0143,2026-06-23,Tuesday,June,Srinagar,North,Express,11,3766.23,161,126,374.38,64694.67,23963.59,46216.2,18478.47,29.3,4.51,32.5,50.2,Cloudy,Weekend Offer
ST0144,2026-04-20,Monday,April,Mumbai,West,Premium,13,6921.51,237,194,593.38,143953.79,56310.25,88439.39,55514.4,28.8,4.33,29.8,57.0,Clear,None
ST0145,2026-03-09,Monday,March,Delhi,North,Express,7,3677.2,111,98,411.37,44522.74,14441.54,31804.29,12718.45,21.0,4.86,29.8,64.8,Hot,None
ST0146,2026-02-16,Monday,February,Mumbai,West,Express,8,6528.12,137,115,355.35,41580.09,15200.43,34283.4,7296.69,25.3,4.54,29.4,73.3,Clear,Weekend Offer
ST0147,2026-06-30,Tuesday,June,Kochi,South,Express,8,2969.92,133,109,266.26,35776.85,14423.87,30425.58,5351.27,27.6,4.26,22.2,37.2,Clear,None
ST0148,2026-01-14,Wednesday,January,Hyderabad,South,Express,5,4722.52,120,100,450.46,55376.18,20931.38,39127.75,16248.43,24.3,4.59,26.8,44.7,Clear,None
ST0149,2026-06-21,Sunday,June,Jaipur,North,Standard,11,4843.73,271,235,398.14,101591.44,31876.07,52540.46,49050.98,21.4,4.68,19.0,50.0,Hot,Weekend Offer
ST0150,2026-01-14,Wednesday,January,Pune,West,Standard,14,5837.67,201,172,460.97,93546.64,34965.21,62222.45,31324.19,23.9,4.32,27.3,59.8,Rain,None
ST0151,2026-03-12,Thursday,March,Mumbai,West,Express,8,5695.51,180,160,247.92,47002.72,15347.06,39655.62,7347.1,28.9,4.7,33.5,72.5,Clear,Weekend Offer
